# Redshift Mass/Msol
17.75 9.47e+07
16.58 1.70e+08
15.48 3.47e+08
14.44 4.60e+08
13.47 8.31e+08
12.57 6.44e+08
11.72 1.38e+09
10.92 2.15e+09
10.14 3.07e+09
9.44 4.19e+09
8.79 5.29e+09
8.18 6.74e+09
7.60 8.27e+09
7.06 1.21e+10
6.56 1.44e+10
6.08 1.61e+10
5.64 1.92e+10
5.22 2.10e+10
4.83 2.61e+10
4.47 4.33e+10
4.12 4.61e+10
3.80 6.97e+10
3.50 8.51e+10
3.22 1.20e+11
2.96 1.07e+11
2.71 1.68e+11
2.47 2.21e+11
2.26 2.76e+11
2.05 3.07e+11
1.86 3.19e+11
1.68 3.28e+11
1.51 3.30e+11
1.35 3.52e+11
1.20 4.09e+11
1.06 4.68e+11
0.94 5.17e+11
0.81 5.78e+11
0.70 6.59e+11
0.59 7.03e+11
0.49 8.85e+11
0.40 1.04e+12
0.31 1.16e+12
0.23 1.15e+12
0.15 1.12e+12
0.08 1.13e+12
0.01 1.17e+12
-0.00 1.18e+12
