# Redshift Mass/Msol
17.75 2.58e+08
16.58 4.36e+08
15.48 8.05e+08
14.44 9.66e+08
13.47 1.54e+09
12.57 2.39e+09
11.72 3.75e+09
10.92 4.49e+09
10.14 5.86e+09
9.44 4.84e+09
8.79 9.11e+09
8.18 1.49e+10
7.60 2.36e+10
7.06 2.77e+10
6.56 3.21e+10
6.08 4.60e+10
5.64 5.31e+10
5.22 7.39e+10
4.83 1.01e+11
4.47 1.29e+11
4.12 1.53e+11
3.80 1.85e+11
3.50 2.13e+11
3.22 2.47e+11
2.96 2.79e+11
2.71 3.03e+11
2.47 3.15e+11
2.26 3.20e+11
2.05 3.28e+11
1.86 3.53e+11
1.68 3.75e+11
1.51 4.24e+11
1.35 4.97e+11
1.20 5.81e+11
1.06 6.38e+11
0.94 8.29e+11
0.81 9.15e+11
0.70 9.80e+11
0.59 9.96e+11
0.49 9.70e+11
0.40 9.68e+11
0.31 1.01e+12
0.23 1.07e+12
0.15 1.11e+12
0.08 1.16e+12
0.01 1.18e+12
-0.00 1.19e+12
