# Redshift Mass/Msol
17.75 6.95e+08
16.58 9.11e+08
15.48 1.19e+09
14.44 2.34e+09
13.47 3.57e+09
12.57 4.67e+09
11.72 6.32e+09
10.92 9.28e+09
10.14 1.47e+10
9.44 1.84e+10
8.79 3.16e+10
8.18 3.97e+10
7.60 4.72e+10
7.06 6.10e+10
6.56 7.37e+10
6.08 9.47e+10
5.64 1.19e+11
5.22 1.46e+11
4.83 1.70e+11
4.47 2.07e+11
4.12 2.28e+11
3.80 2.56e+11
3.50 2.88e+11
3.22 3.09e+11
2.96 3.20e+11
2.71 3.60e+11
2.47 3.86e+11
2.26 4.17e+11
2.05 4.84e+11
1.86 5.40e+11
1.68 6.05e+11
1.51 6.30e+11
1.35 6.71e+11
1.20 7.10e+11
1.06 7.49e+11
0.94 8.08e+11
0.81 8.61e+11
0.70 9.09e+11
0.59 9.41e+11
0.49 9.62e+11
0.40 1.00e+12
0.31 1.05e+12
0.23 1.11e+12
0.15 1.14e+12
0.08 1.17e+12
0.01 1.20e+12
-0.00 1.21e+12
